100,82,58,94,41,37,92,52,31
200,79,61,96,78,100000000,66,141,64
300,88,194,222,203,215,324,253,640
400,100000000,100000000,100000000,334,526,251,183,245
500,384,456,475,558,707,100000000,281,401
600,479,100000000,100000000,375,100000000,610,415,455
700,625,338,507,685,1119,285,599,243
800,814,576,626,984,659,690,742,648
900,1022,563,1094,100000000,618,2072,3317,100000000
1000,1736,2569,885,1068,100000000,897,100000000,1755
